Name,Location,country,Price for 2,Dining Rating,Delivery Rating,food,Dining Rating Count
Yaa Mohaideen Briyani,Pallavaram,Dessert,500,4.3,4.3,Brownies Donut ,1500
Sukkubhai Biriyani,Alandur,Korean,1000,4.4,4.1,Tteokbokki Tteokbokki ,3059
SS Hyderabad Biryani,Kodambakkam,Chinese,500,4.3,4.4,SpringRoll Dumplings ,1361
KFC,Perambur,Chinese,500,4.0,4.0,Dumplings Dimsum ,1101
Tasty Kitchen,Perambur,Japanese,450,4.2,4.1,Udon Udon ,617
Dine N Fun,Medavakkam,Japanese,450,4.1,3.8,Udon Tempura ,567
Cafe Arabica,Anna Nagar East,Japanese,800,4.3,4.3,Ramen Ramen ,668
Savoury Sea Shell,Anna Nagar East,Chinese,1400,4.2,4.1,Dumplings Dimsum ,2564
Sangeetha Veg Restaurant,T. Nagar,Western,800,4.4,4.2,Pizza Sandwich ,1578
McDonald's,Velachery,Chinese,500,3.9,3.9,Dimsum SpringRoll ,743
Kovai Alankar Vilas,Anna Nagar East,Western,700,4.4,3.6,Steak Pizza ,961
Hotel Al Buhari,Vadapalani,Chinese,350,4.0,3.8,SpringRoll Wontons ,982
Dindigul Thalappakatti,Porur,Western,900,4.3,4.0,Salad Hamburger ,770
Hotel Paramount,Kilpauk,Korean,500,4.3,4.2,Bulgogi Bulgogi ,1266
Arab Street,Ashok Nagar,Chinese,800,4.1,3.8,Dimsum Dumplings ,1363
Abid's,Chetpet,Chinese,1200,4.2,4.1,Wontons Dimsum ,742
Malabar Biriyani Center,Aminijikarai,Dessert,450,4.1,3.9,Cookie Cupcake ,660
Velidis,Ramapuram,Dessert,500,4.2,4.1,Cookie Cupcake ,802
Mami Tiffen Stall,Mylapore,Dessert,400,4.3,3.9,Cookie Cupcake ,578
Supriya Andhra Restaurant,Thuraipakkam,Western,650,4.2,3.8,Salad Pizza ,1992
Eating Circles,Alwarpet,Dessert,250,4.7,4.2,Donut Cookie ,782
Salem RR Briyani Unavagam,Velachery,Western,550,4.2,4.0,Salad Hamburger ,1180
V4 Midnight Dhabba,Mogappair,Western,550,4.3,3.9,Pizza Pizza ,1139
Bakya Veg Restaurant,West Mambalam,Chinese,400,4.2,4.0,Dumplings Wontons ,457
Midnight Madness,Adyar,Dessert,450,4.1,3.3,Donut Cookie ,625
Hotel Crescent,Nungambakkam,Korean,500,4.3,4.2,Bibimbap Bulgogi ,1030
Zaitoon,Royapettah,Dessert,900,4.1,4.1,Cupcake Cookie ,1118
Nithya Amirtham,Mylapore,Japanese,500,4.2,4.3,Sushi Tempura ,403
Shri Balaajee Bhavan,Chromepet,Dessert,300,4.3,4.0,Cupcake Brownies ,602
Kakada Ramprasad,Kilpauk,Dessert,450,4.3,4.3,Donut Cupcake ,455
Rasavid,Velachery,Western,800,3.9,3.4,Salad Salad ,350
Buhari,Chromepet,Western,800,3.5,3.8,Sandwich Steak ,646
Domino's Pizza,Kolathur,Dessert,400,4.0,4.1,Donut Donut ,429
Shree Mithai,Chetpet,Japanese,300,4.6,4.4,Tempura Donburi ,1085
New Andhra Meals Hotel,Valasaravakkam,Korean,600,3.9,4.2,Bulgogi Bulgogi ,704
Punjabi Nation,Guindy,Chinese,700,4.0,4.1,Dumplings SpringRoll ,712
Krishna's Dosa Kadai,Mogappair,Dessert,350,4.2,4.1,Brownies Cookie ,692
Al Sham,Potheri,Korean,750,3.9,3.9,Tteokbokki Bibimbap ,601
Orange Wok,Nungambakkam,Dessert,1000,4.2,4.0,Brownies Cookie ,774
Ghuma Ghumalu,Navallur,Japanese,500,4.2,3.6,Udon Udon ,1059
KPS Ambur Biriyani,Mogappair,Japanese,250,3.6,3.7,Tempura Sushi ,409
Pedreno's,Mylapore,Chinese,1200,4.3,4.0,Dimsum SpringRoll ,946
Madras Biryani,Perambur,Korean,400,4.0,3.8,Bibimbap Japche ,559
Palmshore,Egmore,Japanese,1000,4.4,4.0,Sushi Tempura ,2162
Hotel Sri Vairam,Porur,Western,300,4.0,3.8,Pizza Sandwich ,523
Sea Emperor,Madipakkam,Chinese,900,3.8,3.9,SpringRoll Wontons ,602
Andhikkadai,Velachery,Chinese,200,4.6,4.2,Dimsum Wontons ,908
Paradise Biryani,Thiruvanmiyur,Korean,900,4.2,4.2,Tteokbokki Tteokbokki ,1082
A2B - Adyar Ananda Bhavan,Velachery,Korean,600,3.6,4.1,Bulgogi Tteokbokki ,565
Copper Kitchen,Saligramam,Chinese,1000,4.2,3.9,Wontons Wontons ,2275
Fazari,Chromepet,Chinese,750,4.2,3.8,SpringRoll SpringRoll ,1288
Guntur Gongura,Sholinganallur,Dessert,500,4.1,3.8,Cookie Cookie ,2449
Andhra Ruchulu,Porur,Japanese,300,4.1,3.5,Omuraisu Sushi ,835
Brownie Heaven,Royapettah,Dessert,350,4.9,4.3,Cupcake Brownies ,842
Hotel Junior Kuppanna,T. Nagar,Dessert,700,4.3,3.9,Brownies Donut ,1009
Mezze,Alwarpet,Japanese,700,4.7,4.2,Tempura Omuraisu ,1152
Pantry d'or,Anna Nagar East,Japanese,750,4.4,3.9,Ramen Omuraisu ,2485
Maggevala - Curly Cravings,Kilpauk,Chinese,400,4.0,3.7,Wontons Wontons ,731
Amadora Gourmet Ice Cream & Sorbet,Nungambakkam,Japanese,500,4.8,4.5,Donburi Omuraisu ,1516
Eatza Pizza,Nungambakkam,Korean,600,3.7,2.9,Bibimbap Bulgogi ,1135
Samco,Velachery,Chinese,800,4.3,3.7,Dumplings SpringRoll ,1078
Sree Akshayam,Anna Nagar East,Korean,700,4.3,3.9,Japche Japche ,1225
Biriyani Palace,Porur,Korean,600,4.0,3.4,Bulgogi Bulgogi ,849
Pumpkin Tales,Alwarpet,Western,1800,4.5,4.0,Hamburger Sandwich ,768
Sandy's Chocolate Laboratory,Nungambakkam,Japanese,1400,4.5,4.3,Ramen Udon ,2252
Hotel Saravana Bhavan,Perungudi,Western,550,2.7,3.7,Steak Salad ,854
Little Italy,Besant Nagar,Dessert,1500,4.7,4.2,Donut Brownies ,1349
Ciclo Cafe,Kotturpuram,Korean,1100,4.3,4.0,Tteokbokki Tteokbokki ,1943
Big Bang Theory - Bar & Kitchen,Kodambakkam,Chinese,1600,4.1,3.8,Dumplings Wontons ,1262
Onesta,Semmancheri,Dessert,600,4.4,3.6,Brownies Donut ,5407
Fusilli Reasons,Kilpauk,Western,400,4.7,4.4,Pizza Hamburger ,3042
Food @ Finger,Royapuram,Korean,700,4.1,3.7,Bibimbap Bulgogi ,1096
Shri Rajasthani Dhaba,Anna Nagar West,Western,500,4.5,4.5,Pizza Salad ,983
Lucky Da Punjabi Dhabba,Perungudi,Chinese,900,4.3,3.7,Dumplings SpringRoll ,771
Al-Najeeb Nawab Of Kebab,Kilpauk,Korean,500,4.1,4.0,Tteokbokki Tteokbokki ,345
Skewered,Valasaravakkam,Western,400,4.3,3.4,Sandwich Steak ,585
Burger King,"Phoenix Market City, Velachery",Western,500,4.0,4.1,Pizza Sandwich ,1027
Biryani House,Mogappair,Chinese,550,4.1,3.6,SpringRoll Wontons ,669
Shaack,Anna Nagar East,Japanese,900,4.1,4.2,Sushi Tempura ,1124
Hotel Pandian,Mogappair,Korean,500,4.0,3.9,Japche Tteokbokki ,515
Al Raabias Biriyani,Perambur,Chinese,500,3.9,3.8,Dimsum Wontons ,447
Soy Soi,Kotturpuram,Korean,1400,4.7,4.4,Bulgogi Tteokbokki ,920
Hot Pot China,Perungudi,Korean,1000,4.2,3.4,Japche Tteokbokki ,763
Thaqwa Biryani,Ambattur,Dessert,450,4.0,3.9,Brownies Cookie ,741
